original_index,Line by line,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Original_NAICS,NAICS_Source,Matched_NAICS
4,5,2016,,3799.0,,IRVINE,CA,92612.0,0,1,0,0,,Original,
29,30,2016,1STDIBS COM INC,9618.0,,NEW YORK,NY,10003.0,0,0,1,0,,Original,
36,37,2016,2ADVANCED STUDIOS LLC,9494.0,,ALISO VIEJO,CA,92656.0,0,0,1,0,,Original,
44,45,2016,2ULIFE LLC,6445.0,,VIENNA,VA,22180.0,1,0,0,0,,Original,
103,104,2016,3VR SECURITY INC,1017.0,,SAN FRANCISCO,CA,94103.0,0,0,3,0,,Original,
110,111,2016,4CATALYZER CORPORATION,8880.0,,GUILFORD,CT,6437.0,0,0,2,0,,Original,
147,148,2016,6 THEORY MEDIA LLC,3144.0,,RIDGEFIELD PARK,NJ,7660.0,1,0,0,0,,Original,
149,150,2016,6D TECHNOLOGIES INC,4381.0,,HOLBROOK,NY,11741.0,0,1,0,0,,Original,
156,157,2016,7PARK DATA INC,6937.0,,NEW YORK,NY,10016.0,1,0,1,0,,Original,
157,158,2016,7PARK DATA LLC,6937.0,,NEW YORK,NY,10016.0,1,0,0,0,,Original,
163,164,2016,8 PLUS INC,9762.0,,SUNNYVALE,CA,94085.0,1,0,0,0,,Original,
172,173,2016,8L DESIGN INC,4157.0,,SAN MATEO,CA,94403.0,1,0,1,0,,Original,
173,174,2016,8L DESIGN INC,4157.0,,SOUTH SAN FRANCISCO,CA,94080.0,0,0,2,0,,Original,
175,176,2016,8LIKES INC,8821.0,,REDMOND,WA,98052.0,0,0,1,0,,Original,
179,180,2016,8X8 INC,2404.0,,SAN JOSE,CA,95131.0,12,0,8,0,,Original,
191,192,2016,13 RATTLES INC DBA R13,721.0,,NEW YORK,NY,10012.0,1,0,0,0,,Original,
205,206,2016,22 MILES INC,2378.0,,MILPITAS,CA,95035.0,0,0,1,0,,Original,
226,227,2016,28 INC,4394.0,,SUNNYVALE,CA,94085.0,0,0,1,0,,Original,
228,229,2016,33 UNIVERSAL INC,7761.0,,NEW YORK,NY,10004.0,2,0,0,0,,Original,
232,233,2016,41SQUARE LLC,6485.0,,ASHBURN,VA,20148.0,0,0,1,0,,Original,
248,249,2016,88 CITY DEVELOPMENT LLC,9488.0,,FLUSHING,NY,11355.0,0,1,0,0,,Original,
250,251,2016,89 DEGREES INC,3350.0,,BURLINGTON,MA,1803.0,0,0,1,0,,Original,
