LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
ALEKA SYSTEMS LLC,TEANECK,NJ,541511.0
ALEKA SYSTEMS LLC,WEST DES MOINES,IA,541511.0
"AIRYSOFT, INC",GRAND RAPIDS,MI,541511.0
"MEDTECH STAFFING & SOLUTIONS, INC",SOUTH PLAINFIELD,NJ,541611.0
IBM CORPORATION,RTP,NC,541510.0
TEMPLE UNIVERSITY--A COMMONWEALTH UNIVERSITY,PHILADELPHIA,PA,611310.0
WASHINGTON UNIVERSITY IN ST. LOUIS,ST. LOUIS,MO,611310.0
ZYNGA INC.,SAN FRANCISCO,CA,516110.0
"V-SOFT CONSULTING GROUP, INC",LOUISVILLE,KY,541511.0
SVK SYSTEMS INC,JOHNS CREEK,GA,541217.0
LOUISIANA STATE UNIVERSITY AND A & M COLLEGE,BATON ROUGE,LA,611310.0
"PRIMESOFT, INC",PISCATAWAY,NJ,541511.0
STREAMINGEDGE.COM INC,NEW YORK,NY,541519.0
ALEKA SYSTEMS LLC,LAWRENCEVILLE,NJ,541511.0
"CADDELL CONSTRUCTION CO., INC.",MONTGOMERY,AL,236220.0
SOFTPATH SYSTEMS INC,NEW YORK,NY,541512.0
"3S NETWORK, INC.",BELLEVUE,WA,541330.0
PROHEALTH HOMECARE INC.,SAN JOSE,CA,621610.0
UNIVERSITY OF COLORADO,BOULDER,CO,611310.0
MYLAN PHARMACEUTICALS INC.,MORGANTOWN,WV,424210.0
THE UNIVERSITY OF KANSAS,LAWRENCE,KS,611310.0
IBM COORPORATION,RTP,NC,541510.0
MULTIVISION INC.,FAIRFAX,VA,541690.0
"COMTEC CONSULTANTS, INC.",KENNER,LA,541511.0
3EGEUSAGROUP LLC,PISCATAWAY,NJ,541511.0
"GILT GROUPE, INC.",NEW YORK,NY,4541.0
ACCENTURE LLP,CHICAGO,IL,5416.0
"CVS RX SERVICES, INC.",WOONSOCKET,RI,446110.0
"DETAILING DYNAMICS, INC.",MINEOLA,NY,336211.0
"SERACARE LIFE SCIENCES, INC.",MILFORD,MA,325413.0
"INTEGRATED RESOURCES, INC",EDISON,NJ,561320.0
"HCL AMERICA, INC.",SUNNYVALE,CA,541511.0
"CANNON DESIGN, INC.",BOSTON,MA,541310.0
"JT INTERNATIONAL U.S.A., INC.",TEANECK,NJ,424940.0
"ALINDUS, INC.",TULSA,OK,541511.0
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",BALA CYNWYD,PA,523110.0
"M.C. DEAN, INC.",DULLES,VA,541330.0
MOREHOUSE PARISH SCHOOL BOARD,BASTROP,LA,611110.0
"CURRIER, MCCABE & ASSOCIATES, INC.",LATHAM,NY,541511.0
"PLANET AID, INC.",ELKRIDGE,MD,813312.0
"CHARM HAN ENTERPRISE, INC",LOS ANGELES,CA,424420.0
"INTERTEK USA INC., DBA INTERTEK CALEB BRETT",HOUSTON,TX,541330.0
"AXA INVESTMENT MANAGERS, INC.",GREENWICH,CT,523920.0
"THE GAP, INC.",SAN FRANCISCO,CA,448140.0
"THE GOLDMARK GROUP, INC.",CLIFTON,NJ,541430.0
"FORD MODELS, INC.",NEW YORK,NY,711410.0
"MANHATTAN ASSOCIATES, INC.",ATLANTA,GA,541511.0
ESSEX COUNTY COLLEGE,NEWARK,NJ,611310.0
