LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
"MEDTRONIC, INC.",MINNEAPOLIS,MN,334510.0
UNIVERSITY OF OKLAHOMA,NORMAN,OK,611310.0
NOKIA INC.,IRVING,TX,517212.0
"OMRON OILFIELD AND MARINE, INC.",HOUSTON,TX,335314.0
FEDERAL HOME LOAN MORTGAGE CO.,MCLEAN,VA,522294.0
"APLARS, LLC",LITTLE CANADA,MN,454111.0
"VMWARE, INC.",PALO ALTO,CA,541511.0
FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,522294.0
IMAEX TRADING COMPANY,SUWANEE,GA,424460.0
"LHB, INC.",DULUTH,MN,541330.0
"INTERNATIONAL SOLUTIONS GROUP, INC.",HERNDON,VA,541511.0
IT CATS LLC,SAYREVILLE,NJ,541511.0
VF CORPORATION,GREENSBORO,NC,541512.0
"LANDRY'S RESTAURANTS, INC.",HOUSTON,TX,722110.0
PARSONS SERVICES COMPANY,PASADENA,CA,551114.0
DELPHI CORPORATION,TROY,MI,336399.0
DAIRY INFORMATION SYSTEMS HOLDINGS LLC,ENGLEWOOD,CO,511210.0
"INTEGRATED RESOURCES, INC",EDISON,NJ,561320.0
"XPERT TECHNOLOGIES, INC.",CAMP HILL,PA,541511.0
"ISR INFO WAY, INC.",MADISON,WI,541511.0
MAGIC CIRCLE FILMS INTERNATIONAL LLC,AUBURN,NY,51219.0
SAPHIRE SOLUTIONS INC,ISELIN,NJ,541511.0
SWANKTEK INC,NUTLEY,NJ,541511.0
"SUNERA TECHNOLOGIES, INC",TROY,MI,5415.0
NATIONAL SEMICONDUCTOR CORPORATION,SANTA CLARA,CA,334413.0
AMENSYS INC,LEWISVILLE,TX,541511.0
"AKT, LLC.",ISELIN,NJ,541519.0
"EXLSERVICE.COM, INC.",NEW YORK,NY,541611.0
"H & H RESOURCES, INC.",HOUSTON,TX,541330.0
LIANG LLC,CARBONDALE,IL,523999.0
BANK OF THE WEST,SAN RAMON,CA,522190.0
"CONSULTWEBS.COM, INC.",RALEIGH,NC,541613.0
JARDEN CORPORATION,NORWALK,CT,3352.0
"EMINENCE IT SOLUTIONS, INC.",CARY,NC,541511.0
WASHINGTON STATE UNIVERSITY,PULLMAN,WA,611310.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,611310.0
UNIVERSITY OF TEXAS AT EL PASO,EL PASO,TX,611310.0
AIMIC INC,CHANTILLY,VA,541511.0
SARAYU CONSULTANTS INC,SCHAUMBURG,IL,541512.0
THE VALDEN GROUP,LAREDO,TX,4885.0
TRANS AMERICAN INFORMATION SYSTEMS INC,LEWISVILLE,TX,541511.0
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,OKLAHOMA CITY,OK,611310.0
"LLAMASOFT, INC.",ANN ARBOR,MI,541614.0
E.I. DU PONT DE NEMOURS AND COMPANY,WILMINGTON,DE,325199.0
MAP-IT SOLUTIONS INC,TEMPE,AZ,54151.0
SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.,RESEARCH TRIANGLE PARK,NC,334220.0
CCH INCORPORATED,RIVERWOODS,IL,511210.0
"HEALTH LANGUAGE, INC.",RIVERWOODS,IL,5417.0
WINDYCITY TECHNOLOGIES INC,CHICAGO,IL,541511.0
"TECHNIP USA, INC.",HOUSTON,TX,541330.0
CHICAGO BRIDGE & IRON COMPANY (DELAWARE),HOUSTON,TX,541330.0
WEST FOURTH & PERRY LTD.,NEW YORK,NY,541410.0
"BROKEN HILL PROPRIETARY (USA), INC.",HOUSTON,TX,541690.0
"WS ATKINS, INC.",HOUSTON,TX,541990.0
THE JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,611310.0
SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.,ATLANTA,GA,334220.0
THE CITY OF FORT WORTH,FORT WORTH,TX,92212.0
"UNIVERSAL TAX SYSTEMS, INC.",RIVERWOODS,IL,511210.0
BROADCOM CORPORATION,IRVINE,CA,334413.0
"AIG PC GLOBAL SERVICES, INC.",NEW YORK,NY,524298.0
"LANYON SOLUTIONS, INC.",DALLAS,TX,511210.0
CT CORPORATION SYSTEM,RIVERWOODS,IL,511210.0
VINSYS INFORMATION TECHNOLOGY INC,RESTON,VA,514511.0
CONOCOPHILLIPS COMPANY,HOUSTON,TX,324110.0
"T-MOBILE USA, INC.",BELLEVUE,WA,517212.0
PHILLIPS 66 COMPANY,HOUSTON,TX,2111.0
JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,611310.0
"INFORMATION MANAGEMENT SERVICES, INC.",ROCKVILLE,MD,5416.0
ALCOHOL MONITORING SYSTEMS INC,LITTLETON,CO,334519.0
"PERKINS + WILL, INC.",NEW YORK,NY,541310.0
TATA CONSULTANCY SERVICES LIMITED,ROCKVILLE,MD,541511.0
"ELEMICA, INC.",WAYNE,PA,541512.0
NICO HOLDINGS LLC,CHICAGO,IL,523130.0
COLUMBIA UNIVERSITY,NEW YORK,NY,611310.0
CERNER CORPORATION,NORTH KANSAS CITY,MO,541512.0
"OLAM AMERICAS, INC.",SUMMIT,NJ,311920.0
"WELLPOINT, INC.",RICHMOND,VA,524114.0
HITACHI DATA SYSTEMS CORPORATION,SANTA CLARA,CA,541511.0
MCGLADREY LLP,CHICAGO,IL,5412.0
"ILLUSTRIA, INC.",BETHESDA,MD,541430.0
"LOYAL3 HOLDINGS, INC.",SAN FRANCISCO,CA,511210.0
OZARKS MEDICAL CENTER,WEST PLAINS,MO,621111.0
"TRIQUINT SEMICONDUCTOR, INC.",HILLSBORO,OR,3344.0
EDUCATIONAL TESTING SERVICE,PRINCETON,NJ,611710.0
"CONCORD, INC.",HOPKINS,MN,541990.0
PROGRESSIVE STEP CORP.,MILWAUKEE,WI,623110.0
"LAND-O-SUN DAIRIES, LLC",RICHMOND,VA,311511.0
"PIONEER HI-BRED INTERNATIONAL, INC.",WILMINGTON,DE,115112.0
SHELL INTERNATIONAL EXPLORATION AND PRODUCTION INC.,HOUSTON,TX,2111.0
PFIZER INC,NEW YORK,NY,325412.0
"EXLSERVICE.COM, LLC",NEW YORK,NY,541611.0
PROGRESS SOLUTIONS INC,FRISCO,TX,541511.0
"FEDBID, INC.",VIENNA,VA,541511.0
JPMORGAN CHASE & CO.,CHICAGO,IL,551112.0
INDIANA UNIVERSITY,BLOOMINGTON,IN,611310.0
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,511210.0
JACOBS PROJECT MANAGEMENT COMPANY,LAKEWOOD,CO,23622.0
INFORMATICA CORPORATION,REDWOOD CITY,CA,541510.0
BEHAVIOR ANALYST,MURPHYSBORO,IL,621330.0
DELL MARKETING LP,ROUND ROCK,TX,334110.0
"USM BUSINESS SYSTEMS, INC.",CHANTILLY,VA,561300.0
INTEL CORPORATION,SANTA CLARA,CA,3344.0
UNIVERSITY OF KANSAS MEDICAL CENTER,KANSAS CITY,KS,611310.0
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK,NY,611310.0
3MD INC. DBA DENALI ADVANCED INTEGRATION,REDMOND,WA,443120.0
"ABM MACHINING, INC.",COTTAGE GROVE,MN,333298.0
BILL & MELINDA GATES FOUNDATION,SEATTLE,WA,813211.0
"INPATIENT CONSULTANTS OF MICHIGAN, P.C.",NORTH HOLLYWOOD,CA,6211.0
LOGICQUE INC.,CANTON,MI,541511.0
"AC MEDICAL SYSTEMS, INC.",EDEN PRAIRIE,MN,541511.0
THE J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA,541711.0
MAHARISHI UNIVERSITY OF MANAGEMENT,FAIRFIELD,IA,611420.0
"ACS COMMERCIAL SOLUTIONS, INC.",DALLAS,TX,541512.0
ACTUATE CORPORATION,SAN MATEO,CA,511200.0
"CITIBANK, N.A.",NEW YORK,NY,523110.0
ARCHER DANIELS MIDLAND COMPANY,DECATUR,IL,3119.0
ALTO-SHAAM INC.,MENOMONEE FALLS,WI,33331.0
"IT CATS, LLC",SAYREVILLE,NJ,541511.0
CREDIT SUISSE SECURITIES (USA) LLC,NEW YORK,NY,523110.0
"MARLABS, INC",PISCATAWAY,NJ,541511.0
"IGT SOLUTIONS, INC.",CENTENNIAL,CO,541519.0
COLGATE-PALMOLIVE COMPANY,NEW YORK,NY,339999.0
CHILDRENS HOSPITAL CORPORATION/HARVARD UNIVERSITY,CAMBRIDGE,MA,622110.0
APPLE INC.,CUPERTINO,CA,334119.0
SPARTAN SOLUTIONS INC,BARTLETT,TN,541511.0
KAPSCH TRAFFICCOM IVHS INC.,MCLEAN,VA,541512.0
ERICSSON INC.,PLANO,TX,334220.0
"ORIGENE TECHNOLOGIES, INC.",ROCKVILLE,MD,541711.0
"EXTERRAN ENERGY SOLUTIONS, L.P.",HOUSTON,TX,213112.0
THE JOHNS HOPKINS HOSPITAL,BALTIMORE,MD,622110.0
"NORTH PLATTE, NEBRASKA HOSPITAL CORPORATION",NORTH PLATTE,NE,622110.0
HARVARD UNIVERSITY,CAMBRIDGE,MA,611310.0
THE UNIVERSITY OF HOUSTON,HOUSTON,TX,611310.0
"ACCESS INTELLIGENCE, LLC",NEW YORK,NY,541840.0
UNIVERSITY OF MICHIGAN,ANN ARBOR,MI,611310.0
"KESHAV CONSULTING SOLUTIONS, LLC",MORRISVILLE,NC,541511.0
"ADVANCED SYSTEMS FOR POWER ENGINEERING, INC.",SAN MATEO,CA,2211.0
THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,DALLAS,TX,611310.0
"DANIEL J. EDELMAN, INC.",NEW YORK,NY,54182.0
"SCHNEIDER ELECTRIC USA, INC.",PALATINE,IL,335311.0
"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC",COLUMBIA,SC,541511.0
"CISCO SYSTEMS, INC.",SAN JOSE,CA,334111.0
"LANYON SOLUTION, INC.",DALLAS,TX,511210.0
EXILANT TECHNOLOGIES PVT. LTD.,CUPERTINO,CA,541511.0
TEK TREE LLC,NEWARK,DE,518210.0
"FOREVER 21, INC.",LOS ANGELES,CA,448120.0
MICROSOFT CORPORATION,REDMOND,WA,51121.0
STANDARD & POOR'S FINANCIAL SERVICES LLC,HIGHTSTOWN,NJ,523999.0
ORIAN ENGINEERS INCORPORATED,KENNESAW,GA,541511.0
"JOHN ZINK COMPANY, LLC",WICHITA,KS,541330.0
"NORTHWEST ADMINISTRATORS, INC.",SEATTLE,WA,541511.0
THE ADMINISTRATORS OF THE TULANE ENDOWMENT FUND,NEW ORLEANS,LA,611310.0
JAMES HARDIE BUILDING PRODUCTS INC.,MISSION VIEJO,CA,327420.0
"MCAFEE, INC.",SANTA CLARA,CA,5415.0
BANK OF AMERICA N.A.,PENNINGTON,NJ,522110.0
PARADIGM INFO TECH INC,COLUMBIA,MD,541511.0
UNITED SOFTWARE GROUP INC.,DUBLIN,OH,541511.0
"NET MATRIX SOLUTIONS, INC.",HOUSTON,TX,541511.0
"ZAVER PHARMACEUTICALS, INC.",CLARKSVILLE,TN,446110.0
"ALINDUS, INC.",TULSA,OK,541511.0
DARTMOUTH COLLEGE,HANOVER,NH,611310.0
"BRUKER NANO, INC.",SANTA BARBARA,CA,333290.0
EMDEON BUSINESS SERVICES LLC,NASHVILLE,TN,541219.0
"CVS RX SERVICES, INC.",WOONSOCKET,RI,446110.0
BETH ISRAEL DEACONESS MEDICAL CENTER,CAMBRIDGE,MA,622110.0
MAHARISHI UNIVERSITY OF MANAGEMENT,FAIRFIELD,IA,61162.0
THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,DALLAS,TX,611310.0
"CADWALADER, WICKERSHAM & TAFT LLP",NEW YORK,NY,541110.0
BLUECROSS AND BLUESHIELD ASSOCIATION,CHICAGO,IL,524114.0
WASHINGTON UNIVERSITY IN ST. LOUIS,ST. LOUIS,MO,611310.0
HARMONY SCIENCE ACADEMY-ODESSA,ODESSA,TX,611110.0
"ORACLE FINANCIAL SERVICES SOFTWARE, INC.",EDISON,NJ,541511.0
"CONCUR TECHNOLOGIES, INC.",REDMOND,WA,541511.0
CONOCOPHILLIPS COMPANY,HOUSTON,OK,324110.0
"CITRIX SYSTEMS, INC.",FORT LAUDERDALE,FL,541511.0
"CAPITAL IQ, INC. (SUBSIDIARY OF THE MCGRAW-HILL COMPANIES, INC.)",HIGHTSTOWN,NJ,523999.0
STATE UNIVERSITY OF NEW YORK - BUFFALO STATE COLLEGE,BUFFALO,NY,611310.0
SEQUENOM CENTER FOR MOLECULAR MEDICINE,GRAND RAPIDS,MI,621511.0
EMORY UNIVERSITY,ATLANTA,GA,611310.0
UNIVERSITY OF FLORIDA,GAINESVILLE,FL,611310.0
"MERCK & CO., INC.",WHITEHOUSE STATION,NJ,541700.0
"CHANGE.ORG, INC.",SAN FRANCISCO,CA,519130.0
TETRA PAK,VERNON HILLS,IL,333993.0
"JDA SOFTWARE, INC.",SCOTTSDALE,AZ,541600.0
SOUTHERN CALIFORNIA EDISON,ROSEMEAD,CA,2211.0
CHOICE HOTELS INTERNATIONAL,SILVER SPRING,MD,721110.0
RENSSELAER POLYTECHNIC INSTITUTE,TROY,NY,611310.0
"FSQ, INC",NEWTON,MA,621340.0
"INTERCONTINENTALEXCHANGE, INC.",ATLANTA,GA,523999.0
CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,CINCINNATI,OH,622310.0
BARCLAYS CAPITAL INC.,NEW YORK,NY,523110.0
"MOTOROLA SOLUTIONS, INC.",SCHAUMBURG,IL,334200.0
PERRIGO RESEARCH AND DEVELOPMENT,ALLEGAN,MI,32541.0
CORNING INCORPORATED,CORNING,NY,339900.0
JPMORGAN CHASE &AMP; CO.,CHICAGO,IL,551112.0
"NOMURA SECURITIES INTERNATIONAL, INC.",NEW YORK,NY,523110.0
"DIESTE, INC.",DALLAS,TX,541810.0
"ECOM ATLANTIC, INC.",DALLAS,TX,424590.0
"TIDALTV, INC.",BALTIMORE,MD,5418.0
IBM CORPORATION,RTP,NC,541510.0
"WAL-MART ASSOCIATES, INC.",BENTONVILLE,AR,452910.0
"DDB WORLDWIDE COMMUNICATIONS GROUP, INC.",NEW YORK,NY,541810.0
INTEGRAL DEVELOPMENT CORPORATION,SUNNYVALE,CA,511200.0
TRIARCO INDUSTRIES,WAYNE,NJ,541710.0
TINY PLANET INC,LA PALMA,CA,541511.0
MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,611310.0
DELL SERVICES ENGINEERING SOLUTIONS CORP.,ROUND ROCK,TX,334110.0
"HORTONWORKS, INC.",SUNNYVALE,CA,511210.0
"KELLY SERVICES, INC.",TROY,MI,561310.0
"SUPERVALU, INC.",BOISE,ID,446110.0
"HDR ENGINEERING, INC.",OMAHA,NE,541330.0
"NICIRA, INC.",PALO ALTO,CA,541512.0
"DUOLINGO, INC.",PITTSBURGH,PA,541930.0
INTEL CORPORATION,SANTA CLARA,CA,334400.0
"STRATEGIC STAFFING SOLUTIONS, L.C.",DETROIT,MI,541510.0
"AVM, L.P.",BOCA RATON,FL,523110.0
"CUMMINS FILTRATION, INC.",NASHVILLE,TN,3336.0
SVB FINANCIAL GROUP,SANTA CLARA,CA,522110.0
"CLINICAS DEL CAMINO REAL, INC.",VENTURA,CA,621498.0
TIBCO SOFTWARE INC.,PALO ALTO,CA,541511.0
UNIVERSITY OF ALASKA,FAIRBANKS,AK,611310.0
"JAMCO AMERICA, INC.",EVERETT,WA,336413.0
CUMMINS INC.,NASHVILLE,TN,3336.0
UNIVERSITY OF VIRGINIA,CHARLOTTESVILLE,VA,611310.0
"AMERICAN INSITUTUTE OF MEDICAL SCIENCES, LLC",PISCATAWAY,NJ,611710.0
"ENTERPRISE HOLDINGS, INC.",ST. LOUIS,MO,532111.0
UNIVERSITY OF DELAWARE,NEWARK,DE,611310.0
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,HOUSTON,TX,611310.0
"EXELIXIS, INC.",SOUTH SAN FRANCISCO,CA,541710.0
"LABINAL, INC.",EVERETT,WA,33641.0
UNIVERSITY OF ILLINOIS,URBANA,IL,611310.0
THE OHIO STATE UNIVERSITY,COLUMBUS,OH,611310.0
INTERNATIONAL FRANCHISE ASSOCIATION,WASHINGTON,DC,813910.0
"GEMALTO, INC.",AUSTIN,TX,541512.0
,,,
THE UNIVERSITY OF GEORGIA,ATHENS,GA,611310.0
SRS CONSULTING INC.,FREMONT,CA,541511.0
"SMARTPLAY, INC.",SAN JOSE,CA,541330.0
ROBERT BOSCH LLC,FARMINGTON HILLS,MI,336300.0
"UDEMY, INC.",SAN FRANCISCO,CA,511210.0
"GROUPON, INC.",CHICAGO,IL,454111.0
"SDLC MANAGEMENT, INC.",MONROEVILLE,PA,5613.0
THE UNIVERSITY OF CHICAGO,CHICAGO,IL,611310.0
UNIVERSITY OF COLORADO,DENVER,CO,611310.0
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MA,622110.0
"MANNING & NAPIER ADVISORS, LLC",FAIRPORT,NY,532930.0
VERIZON DATA SERVICES LLC,IRVING,TX,517919.0
THE FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,611310.0
UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,FL,611310.0
CHRYSLER GROUP LLC,AUBURN HILLS,MI,3361.0
HALVIK CORPORATION,BALTIMORE,MD,541512.0
