LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
UNIVERSITY OF MICHIGAN,ANN ARBOR,MI,611310.0
"GOODMAN NETWORKS, INC.",PLANO,TX,238210.0
"PORTS AMERICA GROUP, INC.",JERSEY CITY,NJ,488310.0
"GATES CORPORATION, A WHOLLY-OWNED SUBSIDIARY OF TOMKINS PLC",DENVER,CO,3363.0
PEABODY INVESTMENTS CORP.,ST. LOUIS,MO,213113.0
BURGER KING CORPORATION,MIAMI,FL,722513.0
BT AND MK ENERGY AND COMMODITIES,MIAMI,FL,213112.0
"GLOBO MOBILE TECHNOLOGIES, INC.",SAN JOSE,CA,5112.0
ESI COMPANIES INC.,MEMPHIS,TN,541690.0
LESSARD INTERNATIONAL LLC,VIENNA,VA,541310.0
H.J. HEINZ COMPANY,PITTSBURGH,PA,311999.0
DOW CORNING CORPORATION,MIDLAND,MI,541330.0
ACUSHNET COMPANY,FAIRHAVEN,MA,339920.0
"BIOCAIR, INC.",BOSTON,MA,541514.0
NEWMONT MINING CORPORATION,GREENWOOD VILLAGE,CO,331419.0
"VRICON, INC.",STERLING,VA,541720.0
CARDIAC SCIENCE CORPORATION,WAUKESHA,WI,334510.0
WESTFIELD CORPORATION,CENTURY CITY,CA,236220.0
QUICKLOGIX LLC,BOSTON,MA,541519.0
"MCCHRYSTAL GROUP, LLC",ALEXANDRIA,VA,541611.0
"CUDDLE BARN, INC.",COMMERCE,CA,339931.0
"LOMICS, LLC",SAN DIEGO,CA,541511.0
UC UNIVERSITY HIGH SCHOOL EDUCATION INC.,CHULA VISTA,CA,611110.0
VMS COMMUNICATIONS LLC,MIAMI,FL,541511.0
"QUICKLOGIX, INC.",BOSTON,MA,541519.0
FOODESSENTIALS CORPORATION,SAINT LOUIS,MO,54171.0
HELLO INC.,SAN FRANCISCO,CA,443120.0
UMBEL CORP,AUSTIN,TX,541511.0
"PERSPECTIVES OF FREEDOM FOUNDATION, INC",WESTON,FL,541720.0
GTH INC.,WASHINGTON,DC,523999.0
THE KRAFT HEINZ COMPANY,PITTSBURGH,PA,31199.0
"REGED, INC.",MORRISVILLE,NC,511210.0
"FINLAY EXTRACTS & INGREDIENTS USA, INC.",LINCOLN,RI,424490.0
LABEL INSIGHT,SAINT LOUIS,MO,54171.0
INN AT THE WICKLIFFE LLC,WICKLIFFE,OH,72111.0
"DURHAM SCHOOL SERVICES, LP",WARRENVILLE,IL,485410.0
"PARALLELS, INC.",RENTON,WA,541511.0
CB LANSING 300 LLP,LANSING,MI,236220.0
"SOFTTEK INTEGRATION SYSTEMS, INC.",ATLANTA,GA,541511.0
"SPARITY, INC.",ALPHARETTA,GA,541511.0
