,Total_Approvals 2010,Total_Approvals 2011,Total_Approvals 2012,Total_Approvals 2013,Total_Approvals 2014,Total_Approvals 2015,Total_Approvals 2016,Total_Approvals 2017,Total_Approvals 2018,Total_Approvals 2019,Total_Approvals 2020,Total_Approvals 2021,Approval_Percentage 2010,Approval_Percentage 2011,Approval_Percentage 2012,Approval_Percentage 2013,Approval_Percentage 2014,Approval_Percentage 2015,Approval_Percentage 2016,Approval_Percentage 2017,Approval_Percentage 2018,Approval_Percentage 2019,Approval_Percentage 2020,Approval_Percentage 2021,Total_Approvals 2012-2015,Total_Approvals 2018-2019,Approval_Percentage 2012-2015,Approval_Percentage 2018-2019
"('10', 'Unknown or Unclassified Industries')",,,1,,,,,,1,,,,,,0.000463405,,,,,,0.000182573,,,,1,1,0.000104574,8.54E-05
"('11', 'Agriculture, Forestry, Fishing and Hunting')",254,340,287,320,299,213,203,208,262,474,168,398,0.147238695,0.142997136,0.13299721,0.130405725,0.111600478,0.093765683,0.07618147,0.07871334,0.047834136,0.076111322,0.051374104,0.062675586,1119,736,0.117017895,0.062879219
"('12', 'Unknown or Unclassified Industries')",,,,1,,,,,,,,,,,,0.000407518,,,,,,,,,1,,0.000104574,
"('13', 'Unknown or Unclassified Industries')",4,1,2,1,1,2,,,1,,,,0.00231872,0.00042058,0.00092681,0.000407518,0.000373246,0.000880429,,,0.000182573,,,,6,1,0.000627442,8.54E-05
"('15', 'Unknown or Unclassified Industries')",4,14,12,2,4,1,1,,,,,,0.00231872,0.005888117,0.005560859,0.000815036,0.001492983,0.000440214,0.000375278,,,,,,19,,0.001986899,
"('16', 'Unknown or Unclassified Industries')",2,2,,,,,,,,,,,0.00115936,0.00084116,,,,,,,,,,,,,,
"('17', 'Unknown or Unclassified Industries')",6,5,1,2,4,,,,,,,,0.003478079,0.002102899,0.000463405,0.000815036,0.001492983,,,,,,,,7,,0.000732015,
"('18', 'Unknown or Unclassified Industries')",,1,1,1,,,,,,,,,,0.00042058,0.000463405,0.000407518,,,,,,,,,2,,0.000209147,
"('19', 'Unknown or Unclassified Industries')",6,4,6,0,2,,,1,1,,,,0.003478079,0.001682319,0.002780429,0,0.000746491,,,0.00037843,0.000182573,,,,8,1,0.000836589,8.54E-05
"('20', 'Unknown or Unclassified Industries')",,,,1,,,,,,,,,,,,0.000407518,,,,,,,,,1,,0.000104574,
"('21', 'Mining, Quarrying, and Oil and Gas Extraction')",1019,1406,1588,1544,1608,1222,910,898,1570,1651,783,1222,0.590693819,0.591335215,0.735887003,0.629207622,0.600179158,0.537942085,0.341503139,0.339829707,0.28663967,0.265105046,0.239440022,0.192436096,5962,3221,0.623467996,0.275182017
"('22', 'Utilities')",710,958,803,867,862,656,760,714,1442,1847,922,1957,0.41157273,0.402915459,0.372114146,0.353318011,0.321737832,0.288780694,0.285211413,0.270198675,0.263270321,0.296577239,0.281945978,0.308181211,3188,3289,0.33338074,0.28099151
"('23', 'Construction')",1097,1197,1085,1208,1216,1178,1288,1184,3053,4225,2260,4301,0.635908851,0.503434034,0.502794332,0.492281611,0.453866826,0.518572649,0.483358289,0.448060549,0.557395486,0.678418426,0.691104023,0.677305769,4687,7278,0.490136615,0.621786624
"('24', 'Unknown or Unclassified Industries')",,,2,1,,,,,,,,,,,0.00092681,0.000407518,,,,,,,,,3,,0.000313721,
"('25', 'Unknown or Unclassified Industries')",5,5,,2,4,,,,,,,,0.0028984,0.002102899,,0.000815036,0.001492983,,,,,,,,6,,0.000627442,
"('26', 'Unknown or Unclassified Industries')",,2,,,1,,,,,,,,,0.00084116,,,0.000373246,,,,,,,,1,,0.000104574,
"('27', 'Unknown or Unclassified Industries')",,2,2,1,2,,,,,,,,,0.00084116,0.00092681,0.000407518,0.000746491,,,,,,,,5,,0.000522868,
"('28', 'Unknown or Unclassified Industries')",1,2,,1,1,,,,,,,,0.00057968,0.00084116,,0.000407518,0.000373246,,,,,,,,2,,0.000209147,
