"industry_category","high_dependency_median","n","mean_wage","mean_log_wage","mean_denial_rate","avg_dependency"
"Professional Services",TRUE,9,61074.0506813315,11.0186549783479,0.127053528216609,0.00309263863848671
"Information Technology",TRUE,9,68455.2542746999,11.1321295317221,0.0417213547682777,0.000959334751870774
"Finance and Insurance",TRUE,9,75797.5149208605,11.2339132190697,0.0289925926814175,0.000543343123100707
"Educational Services",TRUE,9,55309.6868615733,10.9193532123593,0.0315741851138285,0.000461962618641039
"Manufacturing",TRUE,9,57312.2062798397,10.9550364290886,0.0316355738550024,0.000447040005470085
"NAICS 21",TRUE,9,69354.4066644748,11.1462156140097,0.0430749646668943,0.00035675479804574
"NAICS 22",TRUE,9,73610.2637513338,11.2049268978943,0.0328853694470079,0.000288054283786002
"Healthcare",TRUE,9,52736.1502146031,10.8716583490533,0.0449168623051761,0.000148455696915645
"NAICS 11",TRUE,9,47161.4320698002,10.7584954322488,0.126007996490531,0.000130327840570209
"Wholesale Trade",FALSE,7,57449.4288291616,10.9569020285645,0.0825662705279506,0.000117186198652282
"Wholesale Trade",TRUE,2,55543.530403777,10.9248330205671,0.0626546185943161,0.000117186198652282
"NAICS 55",FALSE,9,62476.6777283316,11.040597499247,0.0474681532779116,0.000104359876718456
"Retail Trade",FALSE,9,45089.1532906817,10.7148461518736,0.050455155618728,8.33535550662007e-05
"Real Estate and Rental and Leasing",FALSE,9,58073.9159831374,10.9678454500031,0.101288105060509,7.53211205042333e-05
"Other Services",FALSE,9,49795.9371344324,10.8137386488842,0.100402303082867,6.09467034159074e-05
"Administrative and Support Services",FALSE,9,55290.4845450079,10.9193646228997,0.112867968663041,5.94632347858559e-05
"NAICS 71",FALSE,9,49052.7684504488,10.7991531722053,0.131271705214491,5.27052547860491e-05
"NAICS 48-49",FALSE,9,60987.3841026538,11.0170148855456,0.0680595025851193,4.63405382399193e-05
"Construction",FALSE,9,55981.2801031905,10.9313300234654,0.0683249164085446,3.91895843201784e-05
"Accommodation and Food Services",FALSE,9,41982.5804371855,10.643699165577,0.159017016191402,1.34218408847503e-05
"Unclassified Industries",FALSE,2,57099.6700059478,10.9523248077377,0.25,2.10477130607374e-08
