occ_title,a_mean_2017,a_mean_2018,a_mean_2019,a_mean_2020,a_mean_2021,a_mean_2022,a_mean_2023,a_mean_2024
Top Executives,128020.0,128240.0,127070.0,129920.0,120520.0,129050.0,136100.0,139860.0
Chief Executives,196050.0,200140.0,193850.0,197840.0,213020.0,246440.0,258900.0,262930.0
General and Operations Managers,123460.0,123880.0,123030.0,125740.0,115250.0,122860.0,129330.0,133120.0
Legislators,46350.0,47620.0,49440.0,53560.0,57110.0,71100.0,68140.0,67390.0
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",138650.0,141500.0,143330.0,148740.0,145130.0,152320.0,159960.0,163740.0
Advertising and Promotions Managers,123880.0,133090.0,141890.0,147560.0,142860.0,147050.0,152620.0,149270.0
Marketing Managers,145620.0,147240.0,149200.0,154470.0,153440.0,158280.0,166410.0,171520.0
Sales Managers,137650.0,140320.0,141690.0,147580.0,142390.0,150530.0,157610.0,160930.0
Public Relations and Fundraising Managers,127690.0,131570.0,132630.0,135580.0,,,,
Operations Specialties Managers,129450.0,132680.0,134550.0,138590.0,139900.0,148190.0,155150.0,160590.0
Administrative Services Managers,103380.0,106050.0,,,113030.0,115640.0,121200.0,126030.0
Computer and Information Systems Managers,149730.0,152860.0,156390.0,161730.0,162930.0,173670.0,180720.0,187990.0
Financial Managers,143530.0,146830.0,147530.0,151510.0,153460.0,166050.0,174820.0,180470.0
Industrial Production Managers,110580.0,113370.0,115110.0,118190.0,117780.0,120900.0,125900.0,129180.0
Purchasing Managers,121810.0,125630.0,128400.0,132660.0,134590.0,140650.0,146710.0,150630.0
"Transportation, Storage, and Distribution Managers",100740.0,102850.0,103320.0,105100.0,105580.0,108910.0,111870.0,116010.0
Compensation and Benefits Managers,130010.0,132860.0,134210.0,137160.0,139470.0,143140.0,150940.0,156230.0
Human Resources Managers,123510.0,126700.0,129570.0,134580.0,136590.0,145750.0,154740.0,160480.0
Training and Development Managers,117690.0,121730.0,123470.0,125920.0,128800.0,132100.0,138450.0,140590.0
Other Management Occupations,98940.0,100900.0,102560.0,106910.0,107230.0,113420.0,118370.0,121560.0
"Farmers, Ranchers, and Other Agricultural Managers",80320.0,79940.0,80360.0,76810.0,78440.0,83790.0,90160.0,97240.0
Construction Managers,101000.0,103110.0,105000.0,107260.0,108210.0,112790.0,116960.0,119660.0
"Education Administrators, Preschool and Childcare Center/Program",53550.0,53990.0,,,,,,
"Education Administrators, Elementary and Secondary School",97440.0,98750.0,,,,,,
"Education Administrators, Postsecondary",107670.0,111210.0,112400.0,115200.0,111260.0,115180.0,122010.0,124450.0
"Education Administrators, All Other",88240.0,89570.0,92150.0,93830.0,94730.0,99820.0,100720.0,99460.0
Architectural and Engineering Managers,146290.0,148970.0,152930.0,158100.0,158970.0,163310.0,172290.0,175710.0
Food Service Managers,57250.0,58960.0,59820.0,61000.0,63970.0,67130.0,69580.0,72370.0
Funeral Service Managers,93090.0,93820.0,,,,,,
Gaming Managers,83460.0,85260.0,,,,,,
Lodging Managers,59620.0,62270.0,63570.0,65270.0,67770.0,73230.0,76790.0,77460.0
Medical and Health Services Managers,111680.0,113730.0,115160.0,118800.0,119840.0,127980.0,134440.0,137730.0
Natural Sciences Managers,133670.0,139680.0,145450.0,154930.0,156110.0,163610.0,169120.0,173500.0
Postmasters and Mail Superintendents,75660.0,77040.0,78220.0,79660.0,81820.0,84190.0,89770.0,93760.0
"Property, Real Estate, and Community Association Managers",72370.0,71730.0,71720.0,73210.0,70030.0,76110.0,78400.0,82720.0
Social and Community Service Managers,70530.0,71670.0,72900.0,75140.0,76790.0,79310.0,83400.0,86100.0
Emergency Management Directors,81140.0,82570.0,82530.0,84310.0,84800.0,88890.0,93690.0,97700.0
"Managers, All Other",113180.0,115590.0,,,129710.0,141190.0,146320.0,149890.0
Business Operations Specialists,73080.0,73890.0,75530.0,78320.0,80380.0,83280.0,88040.0,91020.0
"Agents and Business Managers of Artists, Performers, and Athletes",90870.0,90930.0,97170.0,98070.0,116410.0,120100.0,132810.0,165600.0
Buyers and Purchasing Agents,66960.0,67530.0,69680.0,72370.0,72540.0,75140.0,77850.0,81720.0
"Claims Adjusters, Examiners, and Investigators",66340.0,67540.0,68940.0,70650.0,70960.0,73380.0,75770.0,78770.0
"Insurance Appraisers, Auto Damage",64680.0,65510.0,66240.0,68540.0,68180.0,71580.0,75660.0,77050.0
Compliance Officers,71540.0,72520.0,72850.0,75620.0,75810.0,76980.0,80190.0,84980.0
Cost Estimators,68420.0,69710.0,71350.0,72960.0,73740.0,76740.0,79520.0,83160.0
Human Resources Specialists,66220.0,66790.0,67760.0,69430.0,70720.0,73080.0,76060.0,79730.0
Farm Labor Contractors,48890.0,52930.0,62060.0,50300.0,54400.0,54630.0,51400.0,51910.0
Labor Relations Specialists,65540.0,70730.0,71870.0,74870.0,77070.0,87470.0,94620.0,97130.0
Logisticians,78740.0,78730.0,78680.0,79830.0,79230.0,81220.0,84640.0,87600.0
Management Analysts,93440.0,94390.0,95560.0,97580.0,100530.0,104660.0,115530.0,114710.0
"Meeting, Convention, and Event Planners",52630.0,53730.0,54880.0,55890.0,57850.0,58750.0,62280.0,65090.0
Fundraisers,59930.0,61610.0,62830.0,64550.0,64870.0,66670.0,70760.0,73130.0
"Compensation, Benefits, and Job Analysis Specialists",67160.0,67910.0,69840.0,72610.0,73810.0,75920.0,80620.0,82920.0
Training and Development Specialists,64700.0,65120.0,65640.0,67440.0,67620.0,69870.0,71980.0,73760.0
Market Research Analysts and Marketing Specialists,71450.0,70960.0,71570.0,73970.0,76080.0,78880.0,83190.0,86480.0
"Business Operations Specialists, All Other",75740.0,76960.0,,,79240.0,82670.0,89130.0,92380.0
Financial Specialists,82190.0,82550.0,83260.0,85510.0,87350.0,92290.0,96460.0,100090.0
Accountants and Auditors,77920.0,78820.0,79520.0,81660.0,83980.0,86740.0,90780.0,93520.0
Appraisers and Assessors of Real Estate,60830.0,61870.0,,,,,,
Budget Analysts,78680.0,79830.0,80300.0,82690.0,84240.0,87680.0,90880.0,93920.0
Credit Analysts,82900.0,82300.0,84930.0,86170.0,88030.0,92180.0,94750.0,98040.0
Financial Analysts,99430.0,100990.0,,,,,,
Personal Financial Advisors,124140.0,121770.0,119290.0,122490.0,119960.0,137740.0,150670.0,160210.0
Insurance Underwriters,77660.0,76880.0,77640.0,80390.0,79940.0,82990.0,85610.0,90830.0
Financial Examiners,91780.0,90310.0,92330.0,92730.0,96180.0,95610.0,98140.0,103650.0
Credit Counselors,49460.0,49820.0,50230.0,49940.0,50430.0,51650.0,53440.0,55890.0
Loan Officers,77920.0,76270.0,76200.0,76930.0,80570.0,84160.0,84490.0,86020.0
"Tax Examiners and Collectors, and Revenue Agents",59140.0,60500.0,60960.0,62040.0,63200.0,64410.0,65370.0,67570.0
Tax Preparers,47090.0,46860.0,49550.0,52710.0,51080.0,55840.0,58160.0,58860.0
"Financial Specialists, All Other",76630.0,77580.0,,,80370.0,83580.0,89650.0,93890.0
Computer Occupations,89780.0,91480.0,93620.0,96630.0,99620.0,108100.0,113270.0,116770.0
Computer and Information Research Scientists,119570.0,123850.0,127460.0,130890.0,142650.0,155880.0,157160.0,152310.0
Computer Systems Analysts,92740.0,93610.0,96160.0,99020.0,102210.0,107530.0,110800.0,111960.0
Information Security Analysts,99690.0,102470.0,104210.0,107580.0,113270.0,119860.0,124740.0,127730.0
Computer Programmers,87530.0,89580.0,92610.0,95640.0,96650.0,102790.0,107750.0,103640.0
"Software Developers, Applications",106710.0,108080.0,,,,,,
"Software Developers, Systems Software",111780.0,114000.0,,,,,,
Web Developers,74110.0,75580.0,,,81320.0,87580.0,95570.0,98790.0
