"year","naics_2digit","initial_approvals","initial_denials","continuing_approvals","continuing_denials","total_approvals","total_denials","total_applications","denial_rate","total_employment","AVG_WAGE","inflation_rate","pre_period_employment","h1b_dependency_current","h1b_dependency_preperiod","real_wage","avg_preperiod_dependency","post_treatment","high_dependency_median","high_dependency_top25","high_dependency_top10","did_median","did_top25","did_top10","did_continuous","triple_int_median","triple_int_top25","log_wage","log_real_wage","naics_factor","year_factor","industry_category"
2012,"11",135,15,152,5,287,20,307,0.0651465798045603,1962510,43353.08548,2.0693,2028730,0.000156432323911725,0.000151326199149221,42474.1675312753,0.000141270647153638,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,10.677133155685,10.6566513473198,"11","2012","Agriculture, Forestry, Fishing and Hunting"
2012,"21",810,20,778,18,1588,38,1626,0.023370233702337,3903550,65534.86033,2.0693,3852506,0.000416543915154155,0.000422062937734555,64206.2405934007,0.000366203193453819,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,11.0903374988238,11.0698556904586,"21","2012","Mining, Quarrying, and Oil and Gas Extraction"
2012,"22",291,6,512,10,803,16,819,0.0195360195360195,2760390,68529.39453,2.0693,2741150,0.000296697205829611,0.000298779709246119,67140.0651616108,0.0002949856811922,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,11.1350180494321,11.1145362410669,"22","2012","Utilities"
2012,"23",533,32,552,21,1085,53,1138,0.046572934973638,28029300,52109.96364,2.0693,30492796,4.06003717538433e-05,3.73202903400528e-05,51053.5132895004,4.14130603175911e-05,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.8611114501483,10.8406296417831,"23","2012","Construction"
2012,"31-33",12706,386,14563,281,27269,667,27936,0.0238760022909507,59217830,54009.4365752381,2.0693,60255010,0.000471749809136877,0.000463629497364617,52914.4772965408,0.000457588505918429,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,10.8969140616725,10.8764322533073,"31-33","2012","Manufacturing"
2012,"42",1319,182,1313,39,2632,221,2853,0.0774623203645286,28082190,54052.9572533333,2.0693,28696212,0.000101594640588928,9.94207876635425e-05,52957.1156590016,0.000125696032633157,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.8977195348608,10.8772377264956,"42","2012","Wholesale Trade"
2012,"44-45",2254,202,3162,74,5416,276,5692,0.0484891075193254,74757040,42442.43224,2.0693,77136482,7.61399862808907e-05,7.37912833515016e-05,41581.9764023071,8.67164255689027e-05,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.6559039011706,10.6354220928054,"44-45","2012","Retail Trade"
2012,"48-49",478,74,699,22,1177,96,1273,0.0754124116260801,24967640,57333.8187290909,2.0693,25403244,5.09859962735765e-05,5.01117101422165e-05,56171.4626524243,4.92850440676002e-05,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.9566459332967,10.9361641249315,"48-49","2012","Transportation and Warehousing"
2012,"51",4648,171,5417,143,10065,314,10379,0.0302533962809519,13383090,63438.1609133333,2.0693,13556686,0.000775530912517214,0.000765600088399186,62152.0485722282,0.000987999574527285,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,11.0578208665022,11.037339058137,"51","2012","Information Technology"
2012,"52",4596,138,7664,107,12260,245,12505,0.0195921631347461,27614380,69404.025176,2.0693,28095322,0.000452843771976774,0.000445091891098454,67996.963999949,0.000553942752462492,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,11.1477001444672,11.127218336102,"52","2012","Finance and Insurance"
2012,"53",319,67,362,17,681,84,765,0.109803921568627,9618790,54007.2502433333,2.0693,10042336,7.95318330060226e-05,7.61774949573486e-05,52912.335289194,8.26500925681037e-05,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.8968735802993,10.8763917719341,"53","2012","Real Estate and Rental and Leasing"
2012,"54",51660,4305,54546,2485,106206,6790,112996,0.0600906226769089,38823410,57784.63074,2.0693,41218136,0.00291051198233231,0.00274141460448381,56613.1351346585,0.00336569805097445,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,10.9644781151494,10.9439963067842,"54","2012","Professional Services"
2012,"55",346,22,789,9,1135,31,1166,0.0265866209262436,9955730,58142.45763,2.0693,10870078,0.000117118483526572,0.000107266939574859,56963.7076280527,0.000106714965614782,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.9706514441173,10.9501696357521,"55","2012","Management of Companies and Enterprises"
2012,"56",1098,134,1220,56,2318,190,2508,0.0757575757575758,39470980,52140.520285,2.0693,42503574,6.35403529377786e-05,5.90068025808841e-05,51083.4504449428,6.5138051684783e-05,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.861697666053,10.8412158576878,"56","2012","Administrative and Support Services"
2012,"61",11243,365,11352,281,22595,646,23241,0.0277957058646358,0,52559.00469,2.0693,51184228,Inf,0.000454065654755992,51493.4507143676,0.000475607446887741,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,10.8696917163354,10.8492099079702,"61","2012","Educational Services"
2012,"62",5961,570,7207,233,13168,803,13971,0.057476200701453,88574070,49349.057715,2.0693,92019372,0.000157732392787189,0.000151826726224561,48348.5805379286,0.000155499865832599,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,10.8066739507584,10.7861921423932,"62","2012","Healthcare"
2012,"71",419,70,289,12,708,82,790,0.10379746835443,9610080,45756.2334233333,2.0693,10534054,8.22053510480662e-05,7.49948690219359e-05,44828.5953007744,5.93693558054667e-05,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.7310833111129,10.7106015027477,"71","2012","Arts, Entertainment, and Recreation"
2012,"72",391,183,573,51,964,234,1198,0.195325542570952,57796870,38896.653265,2.0693,62316340,2.07277660537673e-05,1.92244923241641e-05,38108.0827094925,1.5931616009541e-05,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.5686634915866,10.5481816832214,"72","2012","Accommodation and Food Services"
2012,"81",730,115,585,22,1315,137,1452,0.0943526170798898,19010620,45644.7937233333,2.0693,19571198,7.63783611476112e-05,7.41906550636297e-05,44719.4148713995,6.67818086557604e-05,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10.7286448318375,10.7081630234724,"81","2012","Other Services"
2013,"11",123,17,197,7,320,24,344,0.0697674418604651,2010140,42942.421575,1.4648,2028730,0.000171132358940173,0.000169564210121603,42322.4818607044,0.000141270647153638,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,10.6676154642302,10.6530737099143,"11","2013","Agriculture, Forestry, Fishing and Hunting"
2013,"21",675,10,869,12,1544,22,1566,0.0140485312899106,4020950,68053.4962966667,1.4648,3852506,0.000389460202191025,0.000406488659589369,67071.039707038,0.000366203193453819,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,11.128049385109,11.1135076307932,"21","2013","Mining, Quarrying, and Oil and Gas Extraction"
